Unix Timestamp,Average eye position (pixels),Average pupil dilation
1722787040.0565906,"(247.0, 272.0)",2.88397216796875
1722787040.0732896,"(291.0, 287.0)",2.8954696655273438
1722787040.0899897,"(283.0, 282.0)",2.8914260864257812
1722787040.1068423,"(294.0, 286.0)",2.8916091918945312
1722787040.1232245,"(290.0, 285.0)",2.9057083129882812
1722787040.139757,"(289.0, 282.0)",2.9076156616210938
1722787040.1558678,"(290.0, 281.0)",2.9073638916015625
1722787040.172859,"(294.0, 281.0)",2.9131240844726562
1722787040.1896985,"(293.0, 278.0)",2.9135513305664062
1722787040.206472,"(290.0, 275.0)",2.9149627685546875
1722787040.222808,"(270.0, 257.0)",2.9156417846679688
1722787040.2396848,"(266.0, 259.0)",2.9102096557617188
1722787040.2563102,"(266.0, 262.0)",2.91033935546875
1722787040.2730107,"(264.0, 261.0)",2.9076919555664062
1722787040.2885363,"(265.0, 264.0)",2.9072265625
1722787040.3058927,"(267.0, 267.0)",2.8988571166992188
1722787040.3223226,"(268.0, 271.0)",2.8949508666992188
1722787040.3396382,"(272.0, 270.0)",2.8850860595703125
1722787040.3558514,"(270.0, 272.0)",2.882568359375
1722787040.3728356,"(267.0, 271.0)",2.8745880126953125
1722787040.3889847,"(268.0, 272.0)",2.863922119140625
1722787040.4052334,"(268.0, 271.0)",2.8585968017578125
1722787040.4228964,"(268.0, 270.0)",2.8499832153320312
1722787040.439648,"(269.0, 271.0)",2.8436431884765625
1722787040.455187,"(270.0, 270.0)",2.8288955688476562
1722787040.471872,"(269.0, 271.0)",2.824798583984375
1722787040.4883947,"(269.0, 264.0)",2.8263473510742188
1722787040.505837,"(265.0, 263.0)",2.8168716430664062
1722787040.5299351,"(266.0, 266.0)",2.808807373046875
1722787040.5414839,"(266.0, 269.0)",2.8069381713867188
1722787040.5580237,"(269.0, 270.0)",2.7982025146484375
1722787040.5718067,"(269.0, 269.0)",2.7934646606445312
1722787040.5883698,"(267.0, 267.0)",2.7999801635742188
1722787040.6057599,"(267.0, 271.0)",2.7910537719726562
1722787040.6218798,"(266.0, 266.0)",2.787933349609375
1722787040.6390357,"(266.0, 271.0)",2.7948150634765625
1722787040.6551082,"(268.0, 269.0)",2.8021774291992188
1722787040.6718314,"(270.0, 266.0)",2.79620361328125
1722787040.6889198,"(268.0, 264.0)",2.7925643920898438
1722787040.704891,"(268.0, 264.0)",2.7925186157226562
1722787040.7215858,"(269.0, 268.0)",2.7892913818359375
1722787040.7381408,"(268.0, 269.0)",2.7956161499023438
1722787040.7551847,"(365.0, 286.0)",2.8011245727539062
1722787040.7723029,"(556.0, 308.0)",2.8044815063476562
1722787040.7888873,"(584.0, 305.0)",2.8038330078125
1722787040.8056474,"(589.0, 304.0)",2.7986984252929688
1722787040.8216128,"(590.0, 311.0)",2.8004837036132812
1722787040.838239,"(586.0, 310.0)",2.805999755859375
1722787040.8552055,"(587.0, 313.0)",2.8097305297851562
1722787040.8718681,"(587.0, 308.0)",2.8172836303710938
1722787040.8885062,"(588.0, 309.0)",2.8178939819335938
1722787040.9046216,"(585.0, 311.0)",2.821929931640625
1722787040.9216042,"(589.0, 308.0)",2.8224334716796875
1722787040.9382536,"(588.0, 305.0)",2.8274078369140625
1722787040.954952,"(585.0, 306.0)",2.8346405029296875
1722787040.9715486,"(587.0, 307.0)",2.84771728515625
1722787040.9880753,"(589.0, 308.0)",2.8551025390625
1722787041.0055792,"(701.0, 348.0)",2.8664932250976562
1722787041.0216093,"(1009.0, 484.0)",2.8860321044921875
1722787041.038001,"(1277.0, 589.0)",2.95208740234375
1722787041.0541992,"(1638.0, 807.0)",2.9437026977539062
1722787041.204783,"(1680.0, 1050.0)",2.9438629150390625
