Unix Timestamp: 1724326460.5047343, p press
Unix Timestamp: 1724326460.5527604, p release
Unix Timestamp: 1724326460.809196, r press
Unix Timestamp: 1724326460.8887155, o press
Unix Timestamp: 1724326460.9047184, r release
Unix Timestamp: 1724326460.9363205, o release
Unix Timestamp: 1724326461.2092342, g press
Unix Timestamp: 1724326461.2724903, g release
Unix Timestamp: 1724326461.4167726, r press
Unix Timestamp: 1724326461.4653862, r release
Unix Timestamp: 1724326461.7052095, a press
Unix Timestamp: 1724326461.833053, m press
Unix Timestamp: 1724326461.8498676, a release
Unix Timestamp: 1724326461.881306, m release
Unix Timestamp: 1724326461.977147, m press
Unix Timestamp: 1724326462.0412421, m release
Unix Timestamp: 1724326462.1688886, Key.space press
Unix Timestamp: 1724326462.2170706, Key.space release
Unix Timestamp: 1724326462.904951, o press
Unix Timestamp: 1724326462.9695187, o release
Unix Timestamp: 1724326463.7849338, Key.backspace press
Unix Timestamp: 1724326464.2893112, Key.backspace press
Unix Timestamp: 1724326464.3213258, Key.backspace press
Unix Timestamp: 1724326464.351845, Key.backspace press
Unix Timestamp: 1724326464.398844, Key.backspace press
Unix Timestamp: 1724326464.4294925, Key.backspace press
Unix Timestamp: 1724326464.4605603, Key.backspace press
Unix Timestamp: 1724326464.4918613, Key.backspace press
Unix Timestamp: 1724326464.522888, Key.backspace press
Unix Timestamp: 1724326464.5544746, Key.backspace press
Unix Timestamp: 1724326464.5845983, Key.backspace press
Unix Timestamp: 1724326464.6004524, Key.backspace release
Unix Timestamp: 1724326464.8890285, Key.backspace press
Unix Timestamp: 1724326464.9367666, Key.backspace release
Unix Timestamp: 1724326465.0328703, Key.backspace press
Unix Timestamp: 1724326465.096644, Key.backspace release
Unix Timestamp: 1724326465.4005852, Key.backspace press
Unix Timestamp: 1724326465.4327388, Key.backspace release
Unix Timestamp: 1724326466.0094006, w press
Unix Timestamp: 1724326466.0886424, h press
Unix Timestamp: 1724326466.1056411, w release
Unix Timestamp: 1724326466.1531997, h release
Unix Timestamp: 1724326466.712622, a press
Unix Timestamp: 1724326466.7772093, t press
Unix Timestamp: 1724326466.8407779, t release
Unix Timestamp: 1724326466.8423455, a release
Unix Timestamp: 1724326467.19314, Key.space press
Unix Timestamp: 1724326467.2406182, Key.space release
Unix Timestamp: 1724326468.6647608, t press
Unix Timestamp: 1724326468.7286396, t release
Unix Timestamp: 1724326468.9055545, h press
Unix Timestamp: 1724326468.9524639, h release
Unix Timestamp: 1724326469.0326498, e press
Unix Timestamp: 1724326469.129116, Key.space press
Unix Timestamp: 1724326469.144634, e release
Unix Timestamp: 1724326469.1606405, Key.space release
Unix Timestamp: 1724326469.5451818, f press
Unix Timestamp: 1724326469.6572242, e press
Unix Timestamp: 1724326469.6892278, f release
Unix Timestamp: 1724326469.7371168, e release
Unix Timestamp: 1724326469.9452763, s press
Unix Timestamp: 1724326470.0088878, t press
Unix Timestamp: 1724326470.0724516, s release
Unix Timestamp: 1724326470.0734136, t release
Unix Timestamp: 1724326470.424821, i press
Unix Timestamp: 1724326470.473659, i release
Unix Timestamp: 1724326470.7130187, b press
Unix Timestamp: 1724326470.7609785, b release
Unix Timestamp: 1724326471.2415054, Key.backspace press
Unix Timestamp: 1724326471.2895703, Key.backspace release
Unix Timestamp: 1724326471.3690066, v press
Unix Timestamp: 1724326471.5126567, v release
Unix Timestamp: 1724326471.7689102, a press
Unix Timestamp: 1724326471.8485742, l press
Unix Timestamp: 1724326471.9131422, l release
Unix Timestamp: 1724326471.9131422, a release
Unix Timestamp: 1724326472.120885, Key.space press
Unix Timestamp: 1724326472.1524422, Key.space release
Unix Timestamp: 1724326472.6483588, o press
Unix Timestamp: 1724326472.7284808, o release
Unix Timestamp: 1724326472.8891456, f press
Unix Timestamp: 1724326472.969289, f release
Unix Timestamp: 1724326473.0968263, f press
Unix Timestamp: 1724326473.2245486, f release
Unix Timestamp: 1724326473.2889833, e press
Unix Timestamp: 1724326473.4331405, r press
Unix Timestamp: 1724326473.4807377, e release
Unix Timestamp: 1724326473.5771704, r release
Unix Timestamp: 1724326473.8005903, s press
Unix Timestamp: 1724326473.9133384, s release
Unix Timestamp: 1724326474.488478, . press
Unix Timestamp: 1724326474.5214715, . release
Unix Timestamp: 1724326477.705186, Key.backspace press
Unix Timestamp: 1724326477.7690163, Key.backspace release
Unix Timestamp: 1724326478.0567522, Key.shift press
Unix Timestamp: 1724326478.2169657, E press
Unix Timestamp: 1724326478.2805207, E release
Unix Timestamp: 1724326478.2965236, Key.shift release
Unix Timestamp: 1724326480.5361931, Key.backspace press
Unix Timestamp: 1724326480.60068, Key.backspace release
Unix Timestamp: 1724326481.049088, y press
Unix Timestamp: 1724326481.1133704, y release
Unix Timestamp: 1724326484.248965, Key.backspace press
Unix Timestamp: 1724326484.3280816, Key.backspace release
Unix Timestamp: 1724326484.904896, v press
Unix Timestamp: 1724326485.0329423, v release
Unix Timestamp: 1724326493.5446482, Key.backspace press
