Timestamp,Type,Action,Key,Flight Time
2024-08-07 16:02:22.230097771,Key.space,,release,0.111601115
2024-08-07 16:02:22.310878515,w,,press,0.080780744
2024-08-07 16:02:22.438615799,w,,release,0.127737284
2024-08-07 16:02:22.454480886,h,,press,0.015865087
2024-08-07 16:02:22.534330606,h,,release,0.07984972
2024-08-07 16:02:22.598284483,e,,press,0.063953877
2024-08-07 16:02:22.710793018,e,,release,0.112508535
2024-08-07 16:02:22.711789846,r,,press,0.000996828
2024-08-07 16:02:22.822528362,r,,release,0.110738516
2024-08-07 16:02:22.854527712,e,,press,0.03199935
2024-08-07 16:02:22.934098721,Key.space,,press,0.079571009
2024-08-07 16:02:22.983065605,e,,release,0.048966884
2024-08-07 16:02:23.078122377,Key.space,,release,0.095056772
2024-08-07 16:02:23.285856724,Key.shift,,press,0.207734347
2024-08-07 16:02:23.462606192,I,,press,0.176749468
2024-08-07 16:02:23.526409625,Key.shift,,release,0.063803433
2024-08-07 16:02:23.557779789,i,,release,0.031370164
2024-08-07 16:02:23.671188116,Key.space,,press,0.113408327
2024-08-07 16:02:23.813981771,Key.space,,release,0.142793655
2024-08-07 16:02:24.165929079,c,,press,0.351947308
2024-08-07 16:02:24.246784687,c,,release,0.080855608
2024-08-07 16:02:24.358036280,a,,press,0.111251593
2024-08-07 16:02:24.469978809,a,,release,0.111942529
2024-08-07 16:02:24.518082379,n,,press,0.04810357
2024-08-07 16:02:24.598622561,n,,release,0.080540182
2024-08-07 16:02:24.630438089,Key.space,,press,0.031815528
2024-08-07 16:02:24.726061106,Key.space,,release,0.095623017
2024-08-07 16:02:25.782629013,g,,press,1.056567907
2024-08-07 16:02:25.846453190,g,,release,0.063824177
2024-08-07 16:02:25.878409624,o,,press,0.031956434
2024-08-07 16:02:25.958607197,o,,release,0.080197573
2024-08-07 16:02:26.006350517,Key.space,,press,0.04774332
2024-08-07 16:02:26.102192879,Key.space,,release,0.095842362
2024-08-07 16:02:26.104192257,t,,press,0.001999378
2024-08-07 16:02:26.215392351,t,,release,0.111200094
2024-08-07 16:02:26.438047886,o,,press,0.222655535
2024-08-07 16:02:26.502007483,o,,release,0.063959597
2024-08-07 16:02:26.550009012,Key.space,,press,0.048001529
2024-08-07 16:02:26.662979364,Key.space,,release,0.112970352
2024-08-07 16:02:26.694556475,t,,press,0.031577111
2024-08-07 16:02:26.759154320,h,,press,0.064597845
2024-08-07 16:02:26.790856600,t,,release,0.03170228
2024-08-07 16:02:26.854595900,h,,release,0.0637393
2024-08-07 16:02:26.918624401,e,,press,0.064028501
2024-08-07 16:02:27.014225483,e,,release,0.095601082
2024-08-07 16:02:27.015940189,Key.space,,press,0.001714706
2024-08-07 16:02:27.126012325,Key.space,,release,0.110072136
2024-08-07 16:02:27.158173800,l,,press,0.032161475
2024-08-07 16:02:27.253761053,l,,release,0.095587253
2024-08-07 16:02:27.446236610,n,,press,0.192475557
2024-08-07 16:02:27.574056864,n,,release,0.127820254
2024-08-07 16:02:27.621946812,k,,press,0.047889948
2024-08-07 16:02:27.718544483,k,,release,0.096597671
2024-08-07 16:02:27.766137838,Key.space,,press,0.047593355
2024-08-07 16:02:27.878541708,Key.space,,release,0.11240387
2024-08-07 16:02:28.054608822,Key.backspace,,press,0.176067114
2024-08-07 16:02:28.118208408,Key.backspace,,release,0.063599586
2024-08-07 16:02:28.230384827,Key.backspace,,press,0.112176419
2024-08-07 16:02:28.293956757,Key.backspace,,release,0.06357193
2024-08-07 16:02:28.373755932,Key.backspace,,press,0.079799175
2024-08-07 16:02:28.454323292,Key.backspace,,release,0.08056736
2024-08-07 16:02:28.854386330,i,,press,0.400063038
2024-08-07 16:02:28.950020552,i,,release,0.095634222
2024-08-07 16:02:28.982017040,n,,press,0.031996488
2024-08-07 16:02:29.063643694,n,,release,0.081626654
2024-08-07 16:02:29.142852068,k,,press,0.079208374
2024-08-07 16:02:29.222086906,k,,release,0.079234838
2024-08-07 16:02:29.254169226,Key.space,,press,0.03208232
2024-08-07 16:02:29.350589275,Key.space,,release,0.096420049
2024-08-07 16:02:29.382588387,o,,press,0.031999112
2024-08-07 16:02:29.494490147,o,,release,0.11190176
2024-08-07 16:02:29.495493174,f,,press,0.001003027
2024-08-07 16:02:29.590405703,f,,release,0.094912529
2024-08-07 16:02:29.591411829,Key.space,,press,0.001006126
2024-08-07 16:02:29.669930696,Key.space,,release,0.078518867
2024-08-07 16:02:29.702355385,t,,press,0.032424689
