type,x,y,timestamp,button,pressed,dx,dy
move,368,256,1722787054.3301167,,,,
move,383,262,1722787054.3381631,,,,
move,399,267,1722787054.3458378,,,,
move,413,272,1722787054.3532047,,,,
move,428,277,1722787054.3617551,,,,
move,436,280,1722787054.369781,,,,
move,443,282,1722787054.377237,,,,
move,447,283,1722787054.3860133,,,,
move,449,284,1722787054.3938892,,,,
move,449,284,1722787054.4011214,,,,
move,449,284,1722787054.4097955,,,,
move,450,285,1722787054.4178042,,,,
move,450,285,1722787054.425906,,,,
move,452,287,1722787054.4335284,,,,
move,452,288,1722787054.4419088,,,,
move,455,289,1722787054.449703,,,,
move,457,290,1722787054.4574811,,,,
move,460,292,1722787054.4660034,,,,
move,464,293,1722787054.4734435,,,,
move,464,294,1722787054.4819558,,,,
move,466,294,1722787054.4899988,,,,
move,468,296,1722787054.4982014,,,,
move,468,296,1722787054.506017,,,,
move,470,296,1722787054.5138044,,,,
move,473,296,1722787054.5209582,,,,
move,474,296,1722787054.5297942,,,,
move,478,296,1722787054.5373175,,,,
move,479,295,1722787054.5458448,,,,
move,482,295,1722787054.5535882,,,,
move,485,295,1722787054.5619547,,,,
move,486,294,1722787054.5697753,,,,
move,489,293,1722787054.577781,,,,
move,491,293,1722787054.5850706,,,,
move,493,292,1722787054.5941732,,,,
move,495,292,1722787054.6017768,,,,
move,496,291,1722787054.6100905,,,,
move,499,290,1722787054.6178708,,,,
move,504,289,1722787054.6259336,,,,
move,505,289,1722787054.6332405,,,,
move,508,287,1722787054.6417565,,,,
move,511,286,1722787054.6500704,,,,
move,512,286,1722787054.6579967,,,,
move,513,286,1722787054.666109,,,,
move,513,285,1722787054.673566,,,,
move,514,285,1722787054.7063444,,,,
move,514,285,1722787054.7136042,,,,
move,515,285,1722787054.7211413,,,,
move,518,285,1722787054.7296197,,,,
move,519,285,1722787054.7376301,,,,
click,519,285,1722787054.7386322,Button.left,True,,
move,520,285,1722787054.7459874,,,,
move,525,285,1722787054.7536738,,,,
move,527,285,1722787054.7611916,,,,
move,530,285,1722787054.7698584,,,,
move,533,285,1722787054.7778702,,,,
move,539,285,1722787054.7860687,,,,
move,545,285,1722787054.7935998,,,,
move,549,285,1722787054.8017347,,,,
move,557,285,1722787054.8097084,,,,
move,565,285,1722787054.8171146,,,,
move,567,285,1722787054.8259282,,,,
move,572,286,1722787054.8337445,,,,
move,577,287,1722787054.841074,,,,
move,578,288,1722787054.8496149,,,,
move,581,290,1722787054.857623,,,,
click,581,290,1722787054.8597245,Button.left,False,,
move,583,292,1722787054.8660178,,,,
move,584,293,1722787054.8735607,,,,
move,585,293,1722787054.8814125,,,,
move,585,294,1722787054.8899152,,,,
move,586,294,1722787054.897043,,,,
move,586,294,1722787054.914094,,,,
move,586,295,1722787054.921421,,,,
move,586,295,1722787054.9296036,,,,
move,586,296,1722787054.9375556,,,,
move,586,298,1722787054.9457436,,,,
move,586,299,1722787054.9537354,,,,
move,586,299,1722787054.9612522,,,,
move,586,300,1722787054.9700284,,,,
move,586,300,1722787054.9781103,,,,
move,585,300,1722787054.9931462,,,,
move,584,300,1722787055.001665,,,,
move,583,301,1722787055.009676,,,,
move,583,301,1722787055.0274677,,,,
move,582,301,1722787055.0284696,,,,
click,582,301,1722787055.0740304,Button.left,True,,
move,582,301,1722787055.0902584,,,,
move,582,301,1722787055.0978527,,,,
move,582,300,1722787055.105959,,,,
move,583,300,1722787055.1134107,,,,
move,587,299,1722787055.1219254,,,,
move,591,297,1722787055.1300457,,,,
move,597,296,1722787055.1380556,,,,
move,604,294,1722787055.1465852,,,,
move,610,292,1722787055.1683936,,,,
move,617,290,1722787055.1709414,,,,
move,621,288,1722787055.1709414,,,,
click,621,288,1722787055.171942,Button.left,False,,
move,628,285,1722787055.1778238,,,,
move,630,284,1722787055.1853137,,,,
move,632,283,1722787055.1938605,,,,
move,632,282,1722787055.213875,,,,
move,632,282,1722787055.2179744,,,,
move,632,281,1722787055.241083,,,,
move,632,280,1722787055.257958,,,,
move,632,279,1722787055.2658107,,,,
move,630,279,1722787055.2739236,,,,
move,629,278,1722787055.2814627,,,,
move,628,277,1722787055.2894356,,,,
move,625,277,1722787055.298103,,,,
move,622,277,1722787055.3056557,,,,
move,620,277,1722787055.3137622,,,,
move,618,277,1722787055.3215706,,,,
move,615,277,1722787055.3298576,,,,
move,613,277,1722787055.33705,,,,
move,610,277,1722787055.3463106,,,,
move,608,277,1722787055.3540876,,,,
move,606,276,1722787055.3610983,,,,
move,605,276,1722787055.369675,,,,
move,605,276,1722787055.3776176,,,,
move,603,275,1722787055.385276,,,,
click,603,275,1722787055.418712,Button.left,True,,
move,603,275,1722787055.4981766,,,,
move,604,275,1722787055.5060377,,,,
move,604,275,1722787055.5137866,,,,
move,606,275,1722787055.5214403,,,,
move,608,275,1722787055.5299637,,,,
move,610,275,1722787055.537986,,,,
click,610,275,1722787055.537986,Button.left,False,,
move,612,275,1722787055.5455124,,,,
move,612,275,1722787055.553742,,,,
move,612,275,1722787055.5698485,,,,
move,611,275,1722787055.5778017,,,,
move,609,275,1722787055.5858948,,,,
move,606,275,1722787055.593475,,,,
move,605,275,1722787055.6019373,,,,
move,601,275,1722787055.6100092,,,,
move,599,276,1722787055.6173544,,,,
move,594,276,1722787055.625538,,,,
move,591,276,1722787055.6333714,,,,
move,587,276,1722787055.641879,,,,
move,581,277,1722787055.6497042,,,,
move,576,277,1722787055.6675851,,,,
move,574,277,1722787055.668581,,,,
move,574,277,1722787055.67373,,,,
move,574,277,1722787055.6895728,,,,
move,574,276,1722787055.697831,,,,
move,574,275,1722787055.7054996,,,,
move,573,272,1722787055.7137008,,,,
move,573,270,1722787055.721846,,,,
move,572,269,1722787055.7298415,,,,
move,572,268,1722787055.7373824,,,,
move,571,268,1722787055.7458637,,,,
move,571,268,1722787055.7895575,,,,
move,571,269,1722787055.8019748,,,,
move,571,269,1722787055.809819,,,,
move,572,270,1722787055.8179593,,,,
move,572,270,1722787055.8254495,,,,
click,572,270,1722787055.828351,Button.left,True,,
move,573,271,1722787055.8334203,,,,
move,574,272,1722787055.8419821,,,,
move,576,272,1722787055.8496106,,,,
move,579,273,1722787055.8581355,,,,
move,584,274,1722787055.865973,,,,
move,589,274,1722787055.8734078,,,,
move,599,275,1722787055.8819463,,,,
move,605,275,1722787055.8898761,,,,
move,610,276,1722787055.8978252,,,,
move,615,276,1722787055.9050941,,,,
move,617,276,1722787055.9136045,,,,
move,619,276,1722787055.9221764,,,,
move,619,276,1722787055.929764,,,,
move,620,277,1722787055.937733,,,,
move,620,277,1722787055.9564779,,,,
click,620,277,1722787055.9564779,Button.left,False,,
move,621,277,1722787055.9620986,,,,
move,622,277,1722787055.9698608,,,,
move,622,277,1722787056.001036,,,,
move,621,277,1722787056.018091,,,,
move,620,278,1722787056.0253572,,,,
move,618,279,1722787056.0342183,,,,
move,617,280,1722787056.0419996,,,,
move,617,280,1722787056.049877,,,,
move,616,280,1722787056.0578096,,,,
move,616,280,1722787056.073386,,,,
move,615,281,1722787056.0980315,,,,
move,614,281,1722787056.1141047,,,,
move,603,290,1722787066.449567,,,,
move,603,292,1722787066.4574635,,,,
move,604,293,1722787066.46596,,,,
move,606,294,1722787066.4738138,,,,
move,607,295,1722787066.480971,,,,
move,607,295,1722787066.4894834,,,,
move,608,295,1722787066.4974906,,,,
move,608,295,1722787066.505062,,,,
move,608,296,1722787066.5135283,,,,
move,606,297,1722787066.521073,,,,
move,605,297,1722787066.5296528,,,,
move,601,297,1722787066.5375881,,,,
move,598,297,1722787066.5458226,,,,
move,595,297,1722787066.5533733,,,,
move,595,295,1722787066.5615094,,,,
move,597,292,1722787066.569498,,,,
move,600,287,1722787066.5770175,,,,
move,607,278,1722787066.585534,,,,
move,616,265,1722787066.6037054,,,,
