type,x,y,timestamp,button,pressed,dx,dy
move,843,633,1722869238.056133,,,,
move,843,634,1722869238.0640447,,,,
move,843,634,1722869238.0714393,,,,
move,843,634,1722869238.0802011,,,,
move,843,635,1722869238.0882363,,,,
move,843,636,1722869238.1124916,,,,
move,843,636,1722869238.1203477,,,,
move,843,637,1722869238.1278515,,,,
move,844,637,1722869238.1358573,,,,
move,844,638,1722869238.1441498,,,,
move,844,639,1722869238.1522932,,,,
move,844,641,1722869238.1597626,,,,
move,844,642,1722869238.1680775,,,,
move,844,644,1722869238.1759593,,,,
move,844,646,1722869238.1834679,,,,
move,844,647,1722869238.191977,,,,
move,844,648,1722869238.199397,,,,
move,844,650,1722869238.208548,,,,
move,844,653,1722869238.216371,,,,
move,844,654,1722869238.2239125,,,,
move,844,656,1722869238.240432,,,,
move,845,657,1722869238.2483106,,,,
move,845,659,1722869238.256349,,,,
move,845,661,1722869238.263861,,,,
move,846,661,1722869238.2723265,,,,
move,846,663,1722869238.2793884,,,,
move,846,663,1722869238.2959301,,,,
move,846,664,1722869238.3123374,,,,
move,846,664,1722869238.4163144,,,,
move,846,665,1722869238.4234552,,,,
move,846,665,1722869238.431975,,,,
click,846,665,1722869238.4566717,Button.left,True,,
move,846,666,1722869238.464185,,,,
click,846,666,1722869238.5400376,Button.left,False,,
move,846,667,1722869238.5603685,,,,
move,846,667,1722869238.5760891,,,,
move,846,668,1722869238.5846474,,,,
click,846,668,1722869238.6023116,Button.left,True,,
click,846,668,1722869238.7005079,Button.left,False,,
move,847,668,1722869238.7079563,,,,
move,847,668,1722869238.7160969,,,,
move,848,668,1722869238.724202,,,,
move,849,668,1722869238.732176,,,,
click,849,668,1722869238.7682517,Button.left,True,,
move,849,668,1722869238.8159866,,,,
move,850,669,1722869238.8236551,,,,
move,850,669,1722869238.8324542,,,,
move,851,670,1722869238.8394442,,,,
move,852,670,1722869238.8485112,,,,
move,853,670,1722869238.8555167,,,,
move,853,670,1722869238.864042,,,,
