Timestamp, HR(bpm), HRV(ms), Resp(brpm)
1723039203.0, 80, NaN, NaN
1723039207.0, 77, NaN, NaN
1723039209.0, 74, NaN, NaN
1723039218.0, 71, NaN, NaN
1723039219.0, 68, NaN, NaN
1723039228.0, 73, NaN, NaN
1723039236.0, 76, NaN, NaN
1723039246.0, 73, NaN, NaN
1723039253.0, 77, NaN, NaN
1723039254.0, 79, NaN, NaN
1723039259.0, 73, NaN, NaN
1723039270.0, 76, NaN, NaN
1723039293.0, 79, NaN, NaN
1723039297.0, 82, NaN, NaN
1723039302.0, 85, NaN, NaN
1723039314.0, 81, NaN, NaN
1723039343.0, 78, NaN, NaN
1723039373.0, 81, NaN, NaN
1723039446.0, 78, NaN, NaN
1723039449.0, 81, NaN, NaN
1723039456.0, 84, NaN, NaN
1723039474.0, 81, NaN, NaN
1723039519.0, 84, NaN, NaN
1723039523.0, 79, NaN, NaN
1723039563.0, 75, NaN, NaN
1723039586.0, 80, NaN, NaN
1723039587.0, 80, NaN, NaN
1723039591.0, 77, NaN, NaN
1723039633.0, 80, NaN, NaN
1723039644.0, 83, NaN, NaN
1723039657.0, 79, NaN, NaN
1723039665.0, 76, NaN, NaN
1723039685.0, 79, NaN, NaN
1723039718.0, 82, NaN, NaN
1723039720.0, 85, NaN, NaN
1723039725.0, 81, NaN, NaN
1723039748.0, 78, NaN, NaN
1723039760.0, 81, NaN, NaN
1723039807.0, 84, NaN, NaN
1723039819.0, 81, NaN, NaN
1723039852.0, 83, NaN, NaN
1723039875.0, 80, NaN, NaN
1723039880.0, 77, NaN, NaN
1723039890.0, 80, NaN, NaN
1723039895.0, 83, NaN, NaN
1723039908.0, 80, NaN, NaN
1723039921.0, 77, NaN, NaN
1723039936.0, 80, NaN, NaN
1723039939.0, 84, NaN, NaN
1723039945.0, 87, NaN, NaN
1723039956.0, 83, NaN, NaN
1723039974.0, 86, NaN, NaN
1723039990.0, 83, NaN, NaN
1723039994.0, 80, NaN, NaN
1723040006.0, 83, NaN, NaN
1723040036.0, 86, NaN, NaN
1723040042.0, 87, NaN, NaN
1723040056.0, 90, NaN, NaN
1723040069.0, 87, NaN, NaN
1723040072.0, 83, NaN, NaN
1723040087.0, 86, NaN, NaN
1723040103.0, 83, NaN, NaN
1723040105.0, 79, NaN, NaN
1723040127.0, 83, NaN, NaN
1723040158.0, 72, NaN, NaN
1723040159.0, 73, NaN, NaN
1723040211.0, 72, NaN, NaN
