Timestamp	HR	SDNN	RMSSD
1723039135.0	86	13.5961	18.4668
1723039142.0	89	13.5720	18.4264
1723039144.0	93	13.5616	18.3887
1723039161.0	90	13.5346	18.3752
1723039165.0	87	13.5180	18.3552
1723039167.0	83	13.5078	18.3157
1723039169.0	80	13.4974	18.2760
1723039187.0	77	13.4727	18.2668
1723039203.0	80	13.4454	18.2280
1723039207.0	77	13.4292	18.2060
1723039209.0	74	13.4191	18.1677
1723039218.0	71	13.3930	18.1349
1723039219.0	68	13.3865	18.1040
1723039228.0	73	13.3606	18.0734
1723039236.0	76	13.3361	18.0356
1723039246.0	73	13.3096	17.9985
1723039253.0	77	13.2870	17.9622
1723039254.0	79	13.2806	17.9292
1723039259.0	73	13.2622	17.8941
1723039270.0	76	13.2355	17.8615
1723039293.0	79	13.2252	17.8415
1723039297.0	82	13.2097	17.8463
1723039302.0	85	13.1918	17.8103
1723039314.0	81	13.1653	17.7799
1723039343.0	78	13.1800	17.7768
1723039373.0	81	13.1993	17.7414
1723039446.0	78	13.7084	17.9128
1723039449.0	81	13.6954	18.4130
1723039456.0	84	13.6733	18.3783
1723039474.0	81	13.6503	18.3551
1723039519.0	84	13.7703	18.3969
1723039523.0	79	13.7549	18.5389
1723039563.0	75	13.8307	18.6386
1723039586.0	80	13.8177	18.6325
1723039587.0	80	13.8114	18.6467
1723039591.0	77	13.7963	18.6117
1723039633.0	80	13.8854	18.7244
1723039644.0	83	13.8596	18.7865
1723039657.0	79	13.8333	18.7511
1723039665.0	76	13.8108	18.7181
1723039685.0	79	13.7913	18.6973
1723039718.0	82	13.8188	18.6791
1723039720.0	85	13.8099	18.7404
1723039725.0	81	13.7932	18.7063
1723039748.0	78	13.7807	18.7037
1723039760.0	81	13.7554	18.6810
1723039807.0	84	13.8820	18.7674
1723039819.0	81	13.8568	18.8527
1723039852.0	83	13.8825	18.8610
1723039875.0	80	13.8694	18.8362
1723039880.0	77	13.8534	18.8332
1723039890.0	80	13.8299	18.8015
1723039895.0	83	13.8140	18.7699
1723039908.0	80	13.7892	18.7423
1723039921.0	77	13.7646	18.7087
1723039936.0	80	13.7405	18.6756
1723039939.0	84	13.7298	18.6561
1723039945.0	87	13.7123	18.6238
1723039956.0	83	13.6888	18.5933
1723039974.0	86	13.6676	18.5652
1723039990.0	83	13.6447	18.5329
1723039994.0	80	13.6318	18.5141
1723040006.0	83	13.6084	18.4879
1723040036.0	86	13.6204	18.4862
1723040042.0	87	13.6036	18.5081
1723040056.0	90	13.5803	18.4821
1723040069.0	87	13.5570	18.4505
1723040072.0	83	13.5471	18.4281
1723040087.0	86	13.5245	18.4100
1723040103.0	83	13.5025	18.3788
1723040105.0	79	13.4954	18.3657
1723040127.0	83	13.4823	18.3714
1723040158.0	72	13.4988	18.3479
1723040159.0	73	13.4949	18.3994
1723040211.0	72	13.6562	18.6039
