Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724317906, 92, 75.0, 18.69
1724317907, 91, 75.0, 18.69
1724317908, 91, 75.0, 18.69
1724317909, 91, 75.0, 18.83
1724317910, 91, 75.0, 18.83
1724317911, 92, 72.0, 18.83
1724317912, 92, 72.0, 18.83
1724317913, 92, 72.0, 18.78
1724317914, 92, 72.0, 18.78
1724317915, 92, 72.0, 18.91
1724317916, 90, 68.0, 18.91
1724317917, 88, 68.0, 18.91
1724317918, 88, 68.0, 18.91
1724317919, 88, 68.0, 18.77
1724317920, 88, 68.0, 18.77
1724317921, 87, 66.0, 18.77
1724317922, 88, 66.0, 18.9
1724317923, 88, 66.0, 18.9
1724317924, 88, 66.0, 18.9
1724317925, 89, 66.0, 18.8
1724317926, 89, 65.0, 18.8
1724317927, 89, 65.0, 18.8
1724317928, 90, 65.0, 18.98
1724317929, 89, 65.0, 18.98
1724317930, 88, 65.0, 19.16
1724317931, 88, 66.0, 19.16
1724317932, 88, 66.0, 19.16
1724317933, 88, 66.0, 19.45
1724317934, 88, 66.0, 19.45
1724317935, 87, 66.0, 19.66
1724317936, 87, 66.0, 19.66
1724317937, 88, 66.0, 19.66
1724317938, 88, 66.0, 21.84
1724317939, 88, 66.0, 21.84
1724317940, 88, 66.0, 21.84
1724317941, 88, 66.0, 21.7
1724317942, 89, 66.0, 21.7
1724317943, 88, 66.0, 21.8
1724317944, 89, 66.0, 21.8
1724317945, 89, 66.0, 21.8
1724317946, 89, 69.0, 21.8
1724317947, 89, 69.0, 21.8
1724317948, 89, 69.0, 21.8
1724317949, 90, 69.0, 21.69
1724317950, 90, 69.0, 21.69
1724317951, 92, 69.0, 21.72
1724317952, 98, 69.0, 21.72
1724317953, 105, 69.0, 21.72
1724317954, 110, 69.0, 21.72
1724317955, 113, 69.0, 21.72
1724317956, 117, 72.0, 21.72
1724317957, 118, 72.0, 21.72
1724317958, 119, 72.0, 21.72
1724317959, 119, 72.0, 21.62
1724317960, 119, 72.0, 21.62
1724317961, 119, 77.0, 21.62
1724317962, 119, 77.0, 21.62
1724317963, 119, 77.0, 21.62
1724317964, 119, 77.0, 21.55
1724317965, 119, 77.0, 21.55
1724317966, 119, 81.0, 21.55
1724317967, 120, 81.0, 21.55
1724317968, 120, 81.0, 21.55
1724317969, 119, 81.0, 21.45
1724317970, 119, 81.0, 21.45
